"X1.simulation.time","X1.simulation.CL","X1.simulation.CK","X1.simulation.CBr","X1.simulation.CS","X1.simulation.Clu","X1.conf_intervals.time","X1.conf_intervals.CL_mean","X1.conf_intervals.CL_lower","X1.conf_intervals.CL_upper"
314,0.00477307941256756,1.09889297270977e-05,1.72292545195796e-05,0.00119514708503736,0.000109082653606781,314,0.00476908994197761,0.00468569305705473,0.00484193943004085
315,0.00479174196223395,9.3441885178393e-06,1.70799125998757e-05,0.00120161216406377,0.000107206059333887,315,0.00478760540137856,0.0047094054491315,0.00485663769462367
316,0.00480026664814508,8.59342946505603e-06,1.70690445165965e-05,0.00120456471754349,0.000106349527815919,316,0.00479588703681221,0.00471794338879721,0.00486259247950077
317,0.0048022192618878,8.42146540544689e-06,1.71476652729699e-05,0.00120524100932014,0.00010615333580159,317,0.00479809050827365,0.00472143819102231,0.00486382223017331
318,0.00480279483931645,8.37077538294156e-06,1.72450364901946e-05,0.00120544035943439,0.00010609550372197,318,0.00479869668513714,0.00472197924956403,0.00486413250619164
319,0.00480337041674511,8.32008536043622e-06,1.73424077074192e-05,0.00120563970954864,0.000106037671642349,319,0.00479930285979416,0.00472276060533301,0.00486444278220998
320,0.00480394599417376,8.26939533793089e-06,1.74397789246438e-05,0.00120583905966289,0.000105979839562729,320,0.00479990504773145,0.00472338767949979,0.00486487218549391
321,0.00480452157160242,8.21870531542555e-06,1.75371501418685e-05,0.00120603840977714,0.000105922007483109,321,0.00480050692313748,0.00472401618162189,0.0048654639721315
322,0.00480509714903108,8.16801529292022e-06,1.76345213590931e-05,0.00120623775989139,0.000105864175403489,322,0.00480110643920838,0.00472464963238188,0.00486605542519261
323,0.00480567272645973,8.11732527041488e-06,1.77318925763178e-05,0.00120643711000564,0.000105806343323869,323,0.00480167944055589,0.00472528308314187,0.00486664687825373
324,0.00480624830388839,8.06663524790955e-06,1.78292637935424e-05,0.00120663646011989,0.000105748511244249,324,0.00480210996516628,0.00472590544405831,0.00486689476777175
325,0.00480633833802745,8.05870623299084e-06,1.79330582341038e-05,0.00120666764331143,0.00010573946509502,325,0.00480230570976936,0.00472603021902612,0.00486693942539392
326,0.00480637720091758,8.05528378671621e-06,1.80375296160779e-05,0.00120668110344583,0.000105735560479084,326,0.00480236998465981,0.00472607514375526,0.00486697877555818
327,0.0048064160638077,8.05186134044159e-06,1.81420009980519e-05,0.00120669456358023,0.000105731655863149,327,0.0048024124611254,0.0047261200684844,0.00486701812572244
328,0.00480645492669783,8.04843889416696e-06,1.8246472380026e-05,0.00120670802371464,0.000105727751247214,328,0.00480245442690425,0.00472616499321354,0.0048670574758867
329,0.00480649378958795,8.04501644789233e-06,1.83509437620001e-05,0.00120672148384904,0.000105723846631279,329,0.00480249574359247,0.00472620991794268,0.00486709682605095
330,0.00480653265247807,8.0415940016177e-06,1.84554151439741e-05,0.00120673494398344,0.000105719942015343,330,0.00480253525333226,0.00472625484267182,0.00486713617621521
331,0.0048065715153682,8.03817155534307e-06,1.85598865259482e-05,0.00120674840411784,0.000105716037399408,331,0.00480256892453148,0.00472629941857282,0.00486716906281367
332,0.00480661037825832,8.03474910906844e-06,1.86643579079223e-05,0.00120676186425224,0.000105712132783473,332,0.0048025921684657,0.00472634285784781,0.00486716983361245
333,0.00480661132594195,8.03466519081229e-06,1.87672001294846e-05,0.00120676219226582,0.000105712036880113,333,0.00480260480560163,0.00472634399678307,0.00486717060441123
334,0.00480661160018595,8.0346405705872e-06,1.88700134143406e-05,0.00120676228703021,0.000105712008626076,334,0.00480260975825581,0.00472634433968244,0.00486717093668152
335,0.00480661187442994,8.03461595036212e-06,1.89728266991967e-05,0.00120676238179461,0.000105711980372038,335,0.00480261117714289,0.0047263446825818,0.00486717121618792
336,0.0051702485123103,8.03459133013704e-06,1.90756399840527e-05,0.001206762476559,0.000105711952118001,336,0.00516624804901919,0.00508998138911753,0.00523080785933068
337,0.00508137882678046,1.46507746615861e-05,2.01214859693627e-05,0.00126920842673615,0.000120156812358489,337,0.00507781335860992,0.00498709925766955,0.00515869642218073
338,0.00511633319483436,1.15695144611879e-05,1.97568123644461e-05,0.0012813182300356,0.000116641141872706,338,0.00511142395732902,0.0050233791463709,0.00518880586158712
339,0.00513508173057838,9.91725157390279e-06,1.96134821967398e-05,0.00128781311279565,0.000114755984075399,339,0.00513074614509598,0.00504713815404968,0.00520424287361046
340,0.00514354217270391,9.17217184492525e-06,1.96106694649981e-05,0.00129074342527844,0.000113905939246339,340,0.00513860275870767,0.00505500406687767,0.00521017701325496
341,0.0051455760308511,8.99307184635276e-06,1.96953498042766e-05,0.00129144786814943,0.000113701612629082,341,0.00514137759955614,0.00505971477391955,0.00521144855885747
342,0.00514614544209393,8.94294351716474e-06,1.97999674784503e-05,0.00129164509476469,0.000113644427952172,342,0.0051419253747947,0.00506007049287051,0.00521175111691113
343,0.00514671485333676,8.89281518797672e-06,1.9904585152624e-05,0.00129184232137996,0.000113587243275262,343,0.0051424680974806,0.00506042621182146,0.00521205367496478
344,0.00514728426457959,8.8426868587887e-06,2.00092028267978e-05,0.00129203954799523,0.000113530058598352,344,0.00514300829316401,0.00506099447257867,0.00521253339888611
345,0.00514785367582242,8.79255852960068e-06,2.01138205009715e-05,0.00129223677461049,0.000113472873921442,345,0.00514354848884742,0.0050616115979047,0.00521311718829303
346,0.00514842308706525,8.74243020041265e-06,2.02184381751452e-05,0.00129243400122576,0.000113415689244531,346,0.00514408659330783,0.00506223192371279,0.00521370097769995
347,0.00514899249830808,8.69230187122463e-06,2.0323055849319e-05,0.00129263122784103,0.000113358504567621,347,0.00514460709319485,0.00506285224952088,0.00521428476710687
348,0.00514956190955091,8.64217354203661e-06,2.04276735234927e-05,0.00129282845445629,0.000113301319890711,348,0.00514506775506844,0.00506347257532897,0.00521455437966822
349,0.00514967344074834,8.63235494090006e-06,2.05383303302499e-05,0.00129286708545181,0.000113290119180728,349,0.00514533041958026,0.00506363049382851,0.00521459859099298
350,0.00514971176322586,8.62898131071228e-06,2.0649952711223e-05,0.00129288035918963,0.000113286270674427,350,0.00514542075869296,0.00506367419256872,0.00521463726768732
351,0.00514975008570337,8.6256076805245e-06,2.07615750921962e-05,0.00129289363292745,0.000113282422168125,351,0.00514546184347898,0.00506371789130893,0.00521467594438167
352,0.00514978840818089,8.62223405033672e-06,2.08731974731693e-05,0.00129290690666526,0.000113278573661823,352,0.00514549856026411,0.00506376159004914,0.00521471462107601
